lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
no,2005,3,240,2345.49949063846,2716.87004273998,350,1145
no,2005,4,314,2943.85477794509,3236.70438352266,474,1241
no,2005,5,283,2087.12488854565,2519.62036397043,422,719
no,2005,6,290,2522.35905503716,2743.77614476998,408,215
no,2005,7,296,2311.43608288701,2487.45418334942,422,52
no,2005,8,411,2775.97121708616,2539.4436693032,638,343
no,2005,9,405,2527.83488789439,2549.9372264454,523,1205
no,2005,10,367,2600.08334260254,2525.34369161974,533,941
no,2005,11,456,2616.46209087208,2258.19059770038,715,869
no,2005,12,518,3073.14204897545,3501.64572448091,860,934
no,2006,1,623,3500.76504447874,3311.85841641182,1085,31
no,2006,2,533,3211.43667022888,3160.61516594518,846,1004
no,2006,3,721,3301.83887101922,3304.97862198559,1208,162
no,2006,4,614,3470.43697897334,3051.56692330908,1007,44
no,2006,5,709,3245.27216968707,3224.59612759212,1242,492
no,2006,6,556,2681.47907770065,2957.76919129437,968,307
no,2006,7,348,3504.24930259406,3055.16991333551,555,1232
no,2006,8,416,2139.12046631939,2458.56968107983,619,253
no,2006,9,600,2834.07594136451,2871.66758657771,948,122
no,2006,10,740,2611.84097316885,3137.67215476647,1134,1025
no,2006,11,810,3019.59489863066,3055.36822019103,1386,1093
no,2006,12,648,2630.6829050387,2908.68963985653,1028,1034
no,2007,1,931,2858.48880570444,3025.42504023522,1469,632
no,2007,2,815,3316.50993707304,3402.93875729958,1298,1345
no,2007,3,929,2993.61812756188,3182.53208804014,1608,583
no,2007,4,784,3053.50547869296,3108.79040151241,1224,760
no,2007,5,889,3492.8756389242,3489.64985811423,1419,1258
no,2007,6,581,2496.27694102504,2675.54321967712,880,851
no,2007,7,442,2730.89457639485,2924.06560024404,693,544
no,2007,8,536,2954.71599377427,2973.32492961511,748,1067
no,2007,9,600,2403.57994544344,2671.07517477969,899,498
no,2007,10,723,2745.06237297841,2921.70531757025,1133,170
no,2007,11,719,2943.24847787708,3196.28843921259,1127,1358
no,2007,12,583,2801.24457837014,2730.48274597368,840,1312
no,2008,1,910,3326.62740921516,3281.06978349801,1436,314
no,2008,2,693,2895.69026687324,3096.53108412603,1187,520
no,2008,3,801,3017.46320329432,3092.26161384135,1197,221
no,2008,4,807,3397.59475913143,3433.48942391119,1146,429
no,2008,5,697,3004.05491069489,3174.79456655406,1110,1016
no,2008,6,465,2076.48800885322,2458.65702157769,720,1149
no,2008,7,335,2080.24797847676,2359.59463362073,445,1331
no,2008,8,183,2152.17496867606,2021.16026443238,296,1279
pl,2002,11,6,1968.35096697664,2494.22334596157,8,130
pl,2002,12,224,2521.31515847377,2453.95202494804,265,86
pl,2003,1,87,1617.82879054928,2064.33903634625,123,261
pl,2003,2,61,1679.22671215473,1780.46892924498,67,722
pl,2003,3,34,1471.26120157097,1628.05932549895,68,331
pl,2003,4,47,2140.49718870809,2687.0959992555,100,180
pl,2003,5,50,2373.82156895366,2681.07152250961,74,878
pl,2003,6,60,1791.42167979788,1651.47247702626,89,1268
